PORTFOLIO HOLDINGS INFORMATION,,,,
AS OF 7/29/2026,,,,
,,,,
Fund Ticker, Fund Name, Security Ticker, Security Sedol, Security Description, Coupon, Maturity Date, Shares/Contracts, Exposure Value (Notional + G/L), Market Value
"AGQ","ProShares Ultra Silver","","","BLOOMBERG SILVER SUBINDEX SWAP - CITIBANK NA",,,1769495.8585,752661433.6,,
"AGQ","ProShares Ultra Silver","","","BLOOMBERG SILVER SUBINDEX SWAP - UBS AG",,,1595343.196,678584971.65,,
"AGQ","ProShares Ultra Silver","","","SILVER FUTURE Sep26",,,2278,661633710,,
"AGQ","ProShares Ultra Silver","","","PROSHARES GENIUS MNY MKT ETF",,,2650000,265159000,,
"AGQ","ProShares Ultra Silver","","","BLOOMBERG SILVER SUBINDEX SWAP - GOLDMAN SACHS",,,394081,167623772.04,,
"AGQ","ProShares Ultra Silver","","","Net Other Assets (Liabilities)",,,1130300375.39,,1130300375.39,
"ANEW","ProShares MSCI Transformational Changes ETF","DASH",,"DOORDASH INC - A",,,958,,185401.74,
"ANEW","ProShares MSCI Transformational Changes ETF","ABBV",,"ABBVIE INC",,,693,,182466.9,
"ANEW","ProShares MSCI Transformational Changes ETF","ABT",,"ABBOTT LABORATORIES",,,1668,,180144,
"ANEW","ProShares MSCI Transformational Changes ETF","LLY",,"ELI LILLY & CO",,,146,,176662.92,
"ANEW","ProShares MSCI Transformational Changes ETF","DHR",,"DANAHER CORP",,,887,,174286.63,
"ANEW","ProShares MSCI Transformational Changes ETF","SY1",,"SYMRISE AG",,,1686,,171958.76,
"ANEW","ProShares MSCI Transformational Changes ETF","CTVA",,"CORTEVA INC",,,1876,,169796.76,
"ANEW","ProShares MSCI Transformational Changes ETF","GIVN",,"GIVAUDAN-REG",,,42,,169700.09,
"ANEW","ProShares MSCI Transformational Changes ETF","AAPL",,"APPLE INC",,,496,,167742.24,
"ANEW","ProShares MSCI Transformational Changes ETF","KYGA",,"KERRY GROUP PLC-A",,,1700,,164082.78,
"ANEW","ProShares MSCI Transformational Changes ETF","IFF",,"INTL FLAVORS & FRAGRANCES",,,2058,,163878.54,
"ANEW","ProShares MSCI Transformational Changes ETF","DE",,"DEERE & CO",,,267,,163123.65,
"ANEW","ProShares MSCI Transformational Changes ETF","MKC",,"MCCORMICK & CO-NON VTG SHRS",,,3136,,163040.64,
"ANEW","ProShares MSCI Transformational Changes ETF","ROP",,"ROCHE HOLDING AG",,,358,,158833,
"ANEW","ProShares MSCI Transformational Changes ETF","ADBE",,"ADOBE INC",,,581,,153052.83,
"ANEW","ProShares MSCI Transformational Changes ETF","700",,"TENCENT HOLDINGS LTD",,,2538,,150931.2,
"ANEW","ProShares MSCI Transformational Changes ETF","META",,"META PLATFORMS INC-CLASS A",,,247,,144645.67,
"ANEW","ProShares MSCI Transformational Changes ETF","EW",,"EDWARDS LIFESCIENCES CORP",,,1662,,142533.12,
"ANEW","ProShares MSCI Transformational Changes ETF","NPN",,"NASPERS LTD-N SHS",,,2781,,142488.86,
"ANEW","ProShares MSCI Transformational Changes ETF","MSFT",,"MICROSOFT CORP",,,355,,138641.7,
"ANEW","ProShares MSCI Transformational Changes ETF","BDX",,"BECTON DICKINSON AND CO",,,822,,138424.8,
"ANEW","ProShares MSCI Transformational Changes ETF","AVGO",,"BROADCOM INC",,,360,,133315.2,
"ANEW","ProShares MSCI Transformational Changes ETF","7974",,"NINTENDO CO LTD",,,2702,,131964.48,
"ANEW","ProShares MSCI Transformational Changes ETF","AMZN",,"AMAZON.COM INC",,,571,,129417.15,
"ANEW","ProShares MSCI Transformational Changes ETF","GOOGL",,"ALPHABET INC-CL A",,,382,,128623.22,
"ANEW","ProShares MSCI Transformational Changes ETF","NVDA",,"NVIDIA CORP",,,672,,127686.72,
"ANEW","ProShares MSCI Transformational Changes ETF","9988",,"ALIBABA GROUP HOLDING LTD",,,8758,,126856.33,
"ANEW","ProShares MSCI Transformational Changes ETF","2330",,"TAIWAN SEMICONDUCTOR MANUFAC",,,1801,,122380.78,
"ANEW","ProShares MSCI Transformational Changes ETF","NFLX",,"NETFLIX INC",,,1659,,122152.17,
"ANEW","ProShares MSCI Transformational Changes ETF","EBAY",,"EBAY INC",,,1057,,121872.1,
"ANEW","ProShares MSCI Transformational Changes ETF","WBD",,"WARNER BROS DISCOVERY INC",,,4752,,121841.28,
"ANEW","ProShares MSCI Transformational Changes ETF","BSX",,"BOSTON SCIENTIFIC CORP",,,2608,,120072.32,
"ANEW","ProShares MSCI Transformational Changes ETF","ISRG",,"INTUITIVE SURGICAL INC",,,336,,118641.6,
"ANEW","ProShares MSCI Transformational Changes ETF","EA",,"ELECTRONIC ARTS INC",,,560,,116989.6,
"ANEW","ProShares MSCI Transformational Changes ETF","DHER",,"DELIVERY HERO SE",,,2464,,105793.38,
"ANEW","ProShares MSCI Transformational Changes ETF","AGCO",,"AGCO CORP",,,876,,101764.92,
"ANEW","ProShares MSCI Transformational Changes ETF","RMD",,"RESMED INC",,,422,,90430.38,
"ANEW","ProShares MSCI Transformational Changes ETF","CNH",,"CNH INDUSTRIAL NV",,,8267,,88952.92,
"ANEW","ProShares MSCI Transformational Changes ETF","ILMN",,"ILLUMINA INC",,,432,,84162.24,
"ANEW","ProShares MSCI Transformational Changes ETF","DGX",,"QUEST DIAGNOSTICS INC",,,319,,75035.18,
"ANEW","ProShares MSCI Transformational Changes ETF","WST",,"WEST PHARMACEUTICAL SERVICES",,,209,,70529.14,
"ANEW","ProShares MSCI Transformational Changes ETF","ABVX",,"ABIVAX SA",,,549,,68137.81,
"ANEW","ProShares MSCI Transformational Changes ETF","MU",,"MICRON TECHNOLOGY INC",,,91,,67249,
"ANEW","ProShares MSCI Transformational Changes ETF","SXT",,"SENSIENT TECHNOLOGIES CORP",,,533,,65345.8,
"ANEW","ProShares MSCI Transformational Changes ETF","SFM",,"SPROUTS FARMERS MARKET INC",,,751,,59449.16,
"ANEW","ProShares MSCI Transformational Changes ETF","V",,"VISA INC-CLASS A SHARES",,,155,,57153.15,
"ANEW","ProShares MSCI Transformational Changes ETF","AMD",,"ADVANCED MICRO DEVICES",,,124,,53265.44,
"ANEW","ProShares MSCI Transformational Changes ETF","MRNA",,"MODERNA INC",,,974,,53073.26,
"ANEW","ProShares MSCI Transformational Changes ETF","GH",,"GUARDANT HEALTH INC",,,352,,50712.64,
"ANEW","ProShares MSCI Transformational Changes ETF","MA",,"MASTERCARD INC - A",,,75,,42249,
"ANEW","ProShares MSCI Transformational Changes ETF","PINS",,"PINTEREST INC- CLASS A",,,1631,,39861.64,
"ANEW","ProShares MSCI Transformational Changes ETF","SE",,"SEA LTD-ADR",,,352,,38146.24,
"ANEW","ProShares MSCI Transformational Changes ETF","TSLA",,"TESLA INC",,,127,,37886.64,
"ANEW","ProShares MSCI Transformational Changes ETF","CSCO",,"CISCO SYSTEMS INC",,,310,,34868.8,
"ANEW","ProShares MSCI Transformational Changes ETF","9766",,"KONAMI GROUP CORP",,,239,,33186.53,
"ANEW","ProShares MSCI Transformational Changes ETF","TTWO",,"TAKE-TWO INTERACTIVE SOFTWRE",,,129,,31789.47,
"ANEW","ProShares MSCI Transformational Changes ETF","9684",,"SQUARE ENIX HOLDINGS CO LTD",,,1757,,31413.57,
"ANEW","ProShares MSCI Transformational Changes ETF","9618",,"JD.COM INC-CLASS A",,,1912,,30766.36,
"ANEW","ProShares MSCI Transformational Changes ETF","3293",,"INTERNATIONAL GAMES SYSTEM C",,,1337,,30311.28,
"ANEW","ProShares MSCI Transformational Changes ETF","HAS",,"HASBRO INC",,,316,,30073.72,
"ANEW","ProShares MSCI Transformational Changes ETF","REA",,"REA GROUP LTD",,,258,,29941.54,
"ANEW","ProShares MSCI Transformational Changes ETF","000660",,"SK HYNIX INC",,,29,,28071.3,
"ANEW","ProShares MSCI Transformational Changes ETF","035720",,"KAKAO CORP",,,1114,,27169.79,
"ANEW","ProShares MSCI Transformational Changes ETF","1024",,"KUAISHOU TECHNOLOGY",,,4924,,26871.42,
"ANEW","ProShares MSCI Transformational Changes ETF","MEDP",,"MEDPACE HOLDINGS INC",,,45,,26321.85,
"ANEW","ProShares MSCI Transformational Changes ETF","SNAP",,"SNAP INC - A",,,5537,,26190.01,
"ANEW","ProShares MSCI Transformational Changes ETF","MDLN",,"MEDLINE INC-CL A",,,632,,25330.56,
"ANEW","ProShares MSCI Transformational Changes ETF","INTC",,"INTEL CORP",,,309,,25300.92,
"ANEW","ProShares MSCI Transformational Changes ETF","COGT",,"COGENT BIOSCIENCES INC",,,611,,24177.27,
"ANEW","ProShares MSCI Transformational Changes ETF","KRYS",,"KRYSTAL BIOTECH INC",,,65,,23613.2,
"ANEW","ProShares MSCI Transformational Changes ETF","PANW",,"PALO ALTO NETWORKS INC",,,75,,23561.25,
"ANEW","ProShares MSCI Transformational Changes ETF","QIA",,"QIAGEN N.V.",,,553,,23382.5,
"ANEW","ProShares MSCI Transformational Changes ETF","ARWR",,"ARROWHEAD PHARMACEUTICALS IN",,,261,,22503.42,
"ANEW","ProShares MSCI Transformational Changes ETF","HSIC",,"HENRY SCHEIN INC",,,262,,22487.46,
"ANEW","ProShares MSCI Transformational Changes ETF","SMSN",,"SAMSUNG ELECTR-GDR REG S",,,6,,22272,
"ANEW","ProShares MSCI Transformational Changes ETF","HIMS",,"HIMS & HERS HEALTH INC",,,851,,21275,
"ANEW","ProShares MSCI Transformational Changes ETF","IRTC",,"IRHYTHM HOLDINGS INC",,,168,,20569.92,
"ANEW","ProShares MSCI Transformational Changes ETF","MDGL",,"MADRIGAL PHARMACEUTICALS INC",,,37,,20234.56,
"ANEW","ProShares MSCI Transformational Changes ETF","GMED",,"GLOBUS MEDICAL INC - A",,,239,,19459.38,
"ANEW","ProShares MSCI Transformational Changes ETF","TFX",,"TELEFLEX INC",,,144,,19389.6,
"ANEW","ProShares MSCI Transformational Changes ETF","IBM",,"INTL BUSINESS MACHINES CORP",,,85,,19247.4,
"ANEW","ProShares MSCI Transformational Changes ETF","CRSP",,"CRISPR THERAPEUTICS AG",,,401,,19103.64,
"ANEW","ProShares MSCI Transformational Changes ETF","ORCL",,"ORACLE CORP",,,152,,17896.48,
"ANEW","ProShares MSCI Transformational Changes ETF","AMAT",,"APPLIED MATERIALS INC",,,40,,17458,
"ANEW","ProShares MSCI Transformational Changes ETF","TEM",,"TEMPUS AI INC-CL A",,,419,,17409.45,
"ANEW","ProShares MSCI Transformational Changes ETF","CRWD",,"CROWDSTRIKE HOLDINGS INC - A",,,92,,16502.96,
