portfolio,model,var5,var1,cvar5,probability_drawdown_10pct
equal_weight,factor_ddpm_stress,-0.27291743935596435,-0.37933289870485454,-0.3551634222958516,0.7307692307692307
equal_weight,factor_ddpm_base,-0.22454436747045795,-0.23717801330700725,-0.23733402950510388,0.6666666666666666
equal_weight,historical_bootstrap_train,-0.12171218683038106,-0.16550670425383043,-0.1592189539770303,0.38461538461538464
equal_weight,gaussian_cov_train,-0.1368604705570566,-0.1756558475384029,-0.16215330274016032,0.38461538461538464
equal_weight,t_copula_train,-0.16418368194053112,-0.21270514574288416,-0.19826089718955126,0.5384615384615384
equal_weight,filtered_historical_simulation_train,-0.16522061428432752,-0.19427906820875646,-0.18915736137952124,0.4230769230769231
equal_weight,gaussian_factor_same_calibration_stack,-0.1709773871554774,-0.22563527872037648,-0.21042820288452044,0.358974358974359
equal_weight,factor_ddpm_stress_uncalibrated,-0.25106342288487404,-0.33746920364749977,-0.3183058350857409,0.6923076923076923
equal_weight,factor_ddpm_base_uncalibrated,-0.20403466237172735,-0.2117336441999481,-0.21012596718820478,0.5641025641025641
random_dirichlet_01,factor_ddpm_stress,-0.2773473985734798,-0.3878052329827668,-0.3599809828267424,0.7307692307692307
random_dirichlet_01,factor_ddpm_base,-0.22799032050962736,-0.24036408714859844,-0.2404268834339415,0.6538461538461539
random_dirichlet_01,historical_bootstrap_train,-0.12760133040017899,-0.16875872552423155,-0.16450022225669755,0.3974358974358974
random_dirichlet_01,gaussian_cov_train,-0.1357491845637324,-0.17039644666916845,-0.15966036278087378,0.3974358974358974
random_dirichlet_01,t_copula_train,-0.16976695965285607,-0.21937890326790332,-0.20327613950520693,0.5512820512820513
random_dirichlet_01,filtered_historical_simulation_train,-0.17332395601426942,-0.191938086644337,-0.1890122184501996,0.4230769230769231
random_dirichlet_01,gaussian_factor_same_calibration_stack,-0.16714252753908368,-0.2236363464936017,-0.21020430244362032,0.358974358974359
random_dirichlet_01,factor_ddpm_stress_uncalibrated,-0.2572761205648888,-0.3412636513900376,-0.3222812333234477,0.7051282051282052
random_dirichlet_01,factor_ddpm_base_uncalibrated,-0.2079563564377489,-0.21254632820890992,-0.2114387312668804,0.5512820512820513
random_dirichlet_02,factor_ddpm_stress,-0.2576403241656026,-0.3670502069698639,-0.3476700632895565,0.7307692307692307
random_dirichlet_02,factor_ddpm_base,-0.21527175727048303,-0.24066290221670353,-0.23570117776662253,0.6410256410256411
random_dirichlet_02,historical_bootstrap_train,-0.12191347212982372,-0.16069096959611812,-0.15344221432211982,0.3717948717948718
random_dirichlet_02,gaussian_cov_train,-0.1366354961684998,-0.17407513071073694,-0.16339253456860692,0.38461538461538464
random_dirichlet_02,t_copula_train,-0.16334907234147136,-0.20898915932403303,-0.19601232747445974,0.5512820512820513
random_dirichlet_02,filtered_historical_simulation_train,-0.16491629439161612,-0.1932522171091033,-0.18773000931763964,0.3974358974358974
random_dirichlet_02,gaussian_factor_same_calibration_stack,-0.1698771262708126,-0.22547641817509628,-0.20723925750352576,0.32051282051282054
