,0
SMCI,-0.0022820999224980676
INCY,-0.002227122301147098
DXCM,-0.002180597753751846
VRTX,-0.002152956667400542
PCG,-0.0021331124362491427
COHR,-0.0020892364638192317
AMD,-0.0020154816763741632
STX,-0.002010403502555121
MU,-0.001987995987846738
PODD,-0.0019540397893814815
FSLR,-0.0019403659162067234
CSX,-0.0019260305733907793
WDC,-0.0019055874574752084
ALGN,-0.0018986124367940996
REGN,-0.001891578095299857
NSC,-0.001877773375738235
BX,-0.001874466311363947
NRG,-0.001862533177648272
PHM,-0.0018393681162879583
BIIB,-0.001836120230810983
UNP,-0.0018231281212397986
CIEN,-0.0018094837665557863
DHI,-0.0017872804687136697
LEN,-0.0017840022132510232
AKAM,-0.001779238950638544
GLW,-0.0017778537103107998
KKR,-0.001755811203093756
AMP,-0.0016901065905888877
ODFL,-0.0016866895414534072
MET,-0.0016839482954570228
BBY,-0.0016715011426380703
FLEX,-0.0016686429580052694
MS,-0.0016627631017139982
VTRS,-0.0016609931275958108
PRU,-0.0016581509794507709
RF,-0.0016432587589536396
DD,-0.0016347614072618033
BG,-0.0016311399993442356
RCL,-0.0016208789178303311
LOW,-0.0016164160910106843
IVZ,-0.0015960877849942163
EIX,-0.0015859619492576238
HIG,-0.0015847807838803246
PFG,-0.0015833170641036262
COF,-0.0015818417072296143
LYV,-0.0015700832718894596
MRVL,-0.0015700406971431915
MLM,-0.0015665989546548753
F,-0.0015537315890902566
C,-0.001549833445321946
CAT,-0.0015460106588545302
FDX,-0.0015452634720575244
TROW,-0.0015444967008772352
URI,-0.001538374736195519
VMC,-0.001524004624003456
CHRW,-0.0015224751972016835
TPL,-0.001521053058760507
SCHW,-0.0015157634303683328
PSKY,-0.001508264740308126
BEN,-0.0015016271954491026
AIG,-0.0014858525423776536
JBL,-0.0014852102313722883
RJF,-0.001482010881106059
WBD,-0.0014750571477980842
JBHT,-0.001467561721801758
BAC,-0.0014666086151486353
FITB,-0.0014567273003714427
KEY,-0.0014565097434180124
ROP,-0.001452066217150007
JPM,-0.0014451221341178532
HD,-0.0014427579584575835
ADSK,-0.0014411039295650664
DVN,-0.0014248327130363101
TRMB,-0.0014242427689688548
BLK,-0.0014168473936262587
NDAQ,-0.0014155952703385128
ADM,-0.001408299661818005
HPQ,-0.0014063881976263866
TER,-0.0014014641443888347
TDY,-0.001400938630104065
TEL,-0.001394220477058774
DIS,-0.0013926650796617782
GS,-0.0013879141637257169
CME,-0.0013840776114236741
ALB,-0.001381110293524606
A,-0.0013725340366363527
FICO,-0.001365986466407776
IT,-0.0013647458383015225
TMUS,-0.0013529344683601743
PTC,-0.0013412363472438994
ROK,-0.0013397841226486934
SPGI,-0.0013362213259651549
CVS,-0.0013349639517920358
BKR,-0.0013317147890726726
AES,-0.0013308559145246235
EXPD,-0.0013306349515914918
HUBB,-0.0013266786223366147
COP,-0.0013183353912262692
APH,-0.0013136612517493113
FCX,-0.0013126705374036517
ICE,-0.0013121674458185834
ETN,-0.0013052256334395637
TXT,-0.0012994723660605296
V,-0.0012967240242731004
EOG,-0.001294968809400286
DOV,-0.0012891843205406553
MAR,-0.0012872183606738136
MA,-0.0012810606332052323
PKG,-0.0012792577346165976
HBAN,-0.001278511683146159
MSCI,-0.0012746881870996385
PWR,-0.0012663618439719792
CMCSA,-0.0012648792493911017
HON,-0.0012476807548886255
J,-0.0012463048810050603
EMR,-0.0012421386582510813
CF,-0.0012412153539203463
PNC,-0.0012398420345215572
PH,-0.0012381244273412797
MCO,-0.0012367299624851773
MGM,-0.0012277184497742426
DE,-0.0012275566657384237
GILD,-0.0012271215518315634
CMI,-0.0012228941633587794
NVR,-0.001215448265983945
BA,-0.0012127112774621873
TSCO,-0.0012096302849905832
IDXX,-0.0012046799773261661
GD,-0.001202235051563808
UPS,-0.0012020035868599303
SLB,-0.00119513628028688
WFC,-0.001191988019716172
MNST,-0.0011880624152365187
CTSH,-0.0011867121571586246
IEX,-0.0011827952805019562
ALL,-0.0011781432798930577
TKO,-0.0011734018723169963
CRH,-0.0011667045808973768
SWKS,-0.0011650582864170984
STT,-0.0011596244715508961
NUE,-0.001152404220331283
GL,-0.0011509189293498086
CRM,-0.0011455284697668895
NTAP,-0.0011356976060640245
APA,-0.0011270581966354735
PCAR,-0.0011229114873068675
IP,-0.001120476069904509
WAB,-0.0011179403889746895
AFL,-0.0011108875984237308
AON,-0.0011069098398798988
LIN,-0.0011044742096038092
AVGO,-0.0011007371402922132
DHR,-0.0010996152957280477
NTRS,-0.0010957263764880952
BRK-B,-0.0010952908368337723
TECH,-0.0010930579333078294
PPG,-0.001092216940153213
CNC,-0.001088701259522211
TYL,-0.001086228092511495
TFC,-0.0010853483563377745
MRSH,-0.0010843319552285332
APD,-0.0010820314288139345
AME,-0.0010816403088115512
USB,-0.001072336875257038
L,-0.0010610243394261316
CNP,-0.0010554152585211256
PGR,-0.0010544437737691971
