epoch,train_loss,train_denoise_loss,train_factor_corr_loss,train_asset_corr_loss,train_portfolio_tail_loss,valid_selection_metric,valid_selection_score,valid_noise_mse,valid_factor_corr_loss,valid_asset_corr_loss,valid_portfolio_tail_loss,valid_tail_composite,lr,skipped_batches,skip_reasons
1,1.1491173601150513,1.0160398840904237,0.04138451039791107,0.3510933518409729,0.0025571999559178948,valid_tail_composite,1.165734234978171,1.039894700050354,0.05394773776916897,0.3151261841549593,0.006341125350445509,1.165734234978171,1.95e-05,0,{}
2,1.1203029441833496,0.9889004325866699,0.041889478117227555,0.3481092739105225,0.0015818151645362378,valid_tail_composite,1.1634060495039995,1.0397905882667093,0.05425678938627243,0.3099549517912023,0.005706498118610505,1.1634060495039995,3.1e-05,0,{}
3,1.052011866569519,0.9350118660926818,0.040324328541755675,0.30859426021575925,0.0012361659528687596,valid_tail_composite,1.1642723504234762,1.0392052566303926,0.05524828569854007,0.3133816964486066,0.005778485114740974,1.1642723504234762,4.25e-05,0,{}
4,0.8925785064697266,0.8024897336959839,0.03521160274744034,0.23466300427913667,0.0012192058295477182,valid_tail_composite,1.16552234397215,1.0382885862799252,0.05608689215253381,0.317042457706788,0.006735383272718857,1.16552234397215,5.4e-05,0,{}
5,0.7442467284202575,0.6692411565780639,0.02778301067650318,0.19699471831321716,0.0006677643023431301,valid_tail_composite,1.1624247817432178,1.0385124262641459,0.053562291623914945,0.31174008986529184,0.005454489180599065,1.1624247817432178,6.55e-05,0,{}
6,0.6271721863746643,0.5686470079421997,0.01666119206696749,0.15670943677425384,0.00045951271371450273,valid_tail_composite,1.16313136325163,1.038923796485452,0.05378597843296388,0.311431241386077,0.005932596525834764,1.16313136325163,7.7e-05,0,{}
7,0.5530039572715759,0.5075350141525269,0.009304288178682327,0.12374134302139282,0.00039814975578337906,valid_tail_composite,1.1624759786269243,1.035642469630522,0.05568730633924989,0.31615546345710754,0.006722205250030931,1.1624759786269243,8.850000000000001e-05,0,{}
8,0.5089179277420044,0.46895307540893555,0.006942510064691305,0.10906101077795029,0.0005400088976603002,valid_tail_composite,1.159236795762006,1.0354476115282845,0.0536373426370761,0.31177068720845613,0.005255919716813985,1.159236795762006,0.0001,0,{}
9,0.4711877119541168,0.4385447013378143,0.005973205771297217,0.08860632747411729,0.0005815503175836057,valid_tail_composite,1.159860695109648,1.0338857033673454,0.05564419903299388,0.3152229856042301,0.006024133372942314,1.159860695109648,9.999232711633229e-05,0,{}
10,0.45878928422927856,0.4280161952972412,0.005355107001960278,0.08350413665175438,0.0006341553165111691,valid_tail_composite,1.155842472525204,1.031797675525441,0.05404980480670929,0.31061100433854494,0.006027977324693519,1.155842472525204,9.996931102503101e-05,0,{}
11,0.4508003389835358,0.4222489368915558,0.004988531488925219,0.07747930318117141,0.0005812600336503237,valid_tail_composite,1.154796607354108,1.0309798927868115,0.05477804515291663,0.31119075066903057,0.005259121617521434,1.154796607354108,9.993095940434799e-05,0,{}
12,0.44092592000961306,0.41481823682785035,0.005236545251682401,0.07033452346920967,0.0005910572328139096,valid_tail_composite,1.1549439360113705,1.0309154917212093,0.054887272307977956,0.31016392392270703,0.005991477067308391,1.1549439360113705,9.987728504852338e-05,0,{}
13,0.436529780626297,0.41101988196372985,0.005032501434907317,0.06863016039133071,0.00064378856215626,valid_tail_composite,1.1550014159258675,1.0304345944348503,0.05489843864651287,0.3128961657776552,0.005431304877514348,1.1550014159258675,9.980830586351754e-05,0,{}
14,0.4213434875011444,0.39436973810195924,0.004911467274650931,0.07244928583502769,0.000845609582029283,valid_tail_composite,1.1545332249473124,1.0293500423431396,0.05531038278165985,0.31442667280926423,0.0054290334091467015,1.1545332249473124,9.972404486103752e-05,0,{}
15,0.4252635300159454,0.4018900489807129,0.005281253512948752,0.062250522524118425,0.000706064699916169,valid_tail_composite,1.1511295753366806,1.026803598684423,0.05521021673784537,0.3134603798389435,0.004763717722038136,1.1511295753366806,9.962453015086026e-05,0,{}
16,0.406789984703064,0.38340715527534486,0.004701929027214646,0.06284263089299202,0.0005966962547972798,valid_tail_composite,1.151487483697779,1.0274548179963057,0.05545514033121221,0.3128224400913014,0.004605046021478141,1.151487483697779,9.950979493145508e-05,0,{}
17,0.40950791239738465,0.3866559314727783,0.004646364599466324,0.06142890140414238,0.0005634560901671648,valid_tail_composite,1.1520547656451954,1.0255471608218025,0.0564361762474565,0.3178092977579902,0.00531616249559995,1.1520547656451954,9.937987747890854e-05,0,{}
18,0.4031436109542847,0.3804265260696411,0.004692447930574417,0.06109469383955002,0.0005272750579752028,valid_tail_composite,1.1499480359694536,1.0253275913350723,0.05626782358569257,0.3125162878457238,0.005314876996528576,1.1499480359694536,9.923482113415544e-05,0,{}
19,0.4044440257549286,0.3834578037261963,0.004416078180074692,0.05645071223378181,0.00046034611470531674,valid_tail_composite,1.1476506205166088,1.0229487349005306,0.05552076811299605,0.31345966808936176,0.005182441056925146,1.1476506205166088,9.907467428852006e-05,0,{}
