date,short__D_eff_entropy_63,short__g_barrier_63,short__sigma_realized_21,short__calm_21,short__Eproxy_bond_rally_63d,short__Eproxy_credit_risk_on_spread,short__Eproxy_usd_weakness_63d,short__E_control,short__phi_ineff,short__SML_E_over_D,short__decreasing_returns,short__T_tension,mid__D_eff_entropy_252,mid__g_barrier_252,mid__sigma_realized_63,mid__calm_63,mid__Eproxy_bond_rally_63d,mid__Eproxy_credit_risk_on_spread,mid__Eproxy_usd_weakness_63d,mid__E_control,mid__phi_ineff,mid__SML_E_over_D,mid__decreasing_returns,mid__T_tension,long__D_eff_entropy_756,long__g_barrier_756,long__sigma_realized_126,long__calm_126,long__Eproxy_bond_rally_63d,long__Eproxy_credit_risk_on_spread,long__Eproxy_usd_weakness_63d,long__E_control,long__phi_ineff,long__SML_E_over_D,long__decreasing_returns,long__T_tension,mem_30d__mem__p_fail,mem_30d__mem__avg_fwd_ret,mem_30d__mem__avg_fwd_dd,mem_30d__mem__mean_dist,mem_30d__mem__min_dist,mem_30d__mem__recurrence,T_comp_pct,asset__mean_corr_63,asset__mean_corr_63_pct,GFL,GFL_pct,M_fin_raw,M_fin_pct
2015-10-08,,,,,,-0.5070563932107395,,,,,,,,,,,,-0.5070563932107395,,,,,,,,,,,,-0.5070563932107395,,,,,,,,,,,,,,,,,,,
2015-10-09,,,,,,-0.5075435446026657,,,,,,,,,,,,-0.5075435446026657,,,,,,,,,,,,-0.5075435446026657,,,,,,,,,,,,,,,,,,,
2015-10-12,,,,,,-0.513375561399263,,,,,,,,,,,,-0.513375561399263,,,,,,,,,,,,-0.513375561399263,,,,,,,,,,,,,,,,,,,
2015-10-13,,,,,,-0.5149608765573896,,,,,,,,,,,,-0.5149608765573896,,,,,,,,,,,,-0.5149608765573896,,,,,,,,,,,,,,,,,,,
2015-10-14,,,,,,-0.5195677872618565,,,,,,,,,,,,-0.5195677872618565,,,,,,,,,,,,-0.5195677872618565,,,,,,,,,,,,,,,,,,,
2015-10-15,,,,,,-0.5166480565174241,,,,,,,,,,,,-0.5166480565174241,,,,,,,,,,,,-0.5166480565174241,,,,,,,,,,,,,,,,,,,
2015-10-16,,,,,,-0.5125600896426015,,,,,,,,,,,,-0.5125600896426015,,,,,,,,,,,,-0.5125600896426015,,,,,,,,,,,,,,,,,,,
2015-10-19,,,,,,-0.5097380760785919,,,,,,,,,,,,-0.5097380760785919,,,,,,,,,,,,-0.5097380760785919,,,,,,,,,,,,,,,,,,,
2015-10-20,,,,,,-0.5069969037236266,,,,,,,,,,,,-0.5069969037236266,,,,,,,,,,,,-0.5069969037236266,,,,,,,,,,,,,,,,,,,
2015-10-21,,,,,,-0.5129574348020127,,,,,,,,,,,,-0.5129574348020127,,,,,,,,,,,,-0.5129574348020127,,,,,,,,,,,,,,,,,,,
2015-10-22,,,,,,-0.5147222282102621,,,,,,,,,,,,-0.5147222282102621,,,,,,,,,,,,-0.5147222282102621,,,,,,,,,,,,,,,,,,,
2015-10-23,,,,,,-0.5075712365147607,,,,,,,,,,,,-0.5075712365147607,,,,,,,,,,,,-0.5075712365147607,,,,,,,,,,,,,,,,,,,
2015-10-26,,,,,,-0.5103838478195302,,,,,,,,,,,,-0.5103838478195302,,,,,,,,,,,,-0.5103838478195302,,,,,,,,,,,,,,,,,,,
2015-10-27,,,,,,-0.5138422173054167,,,,,,,,,,,,-0.5138422173054167,,,,,,,,,,,,-0.5138422173054167,,,,,,,,,,,,,,,,,,,
2015-10-28,,,,,,-0.5073644378741218,,,,,,,,,,,,-0.5073644378741218,,,,,,,,,,,,-0.5073644378741218,,,,,,,,,,,,,,,,,,,
2015-10-29,,,,,,-0.5029396259672012,,,,,,,,,,,,-0.5029396259672012,,,,,,,,,,,,-0.5029396259672012,,,,,,,,,,,,,,,,,,,
2015-10-30,,,,,,-0.5042864868779717,,,,,,,,,,,,-0.5042864868779717,,,,,,,,,,,,-0.5042864868779717,,,,,,,,,,,,,,,,,,,
2015-11-02,,,,,,-0.4968902270944269,,,,,,,,,,,,-0.4968902270944269,,,,,,,,,,,,-0.4968902270944269,,,,,,,,,,,,,,,,,,,
2015-11-03,,,,,,-0.4958095993095268,,,,,,,,,,,,-0.4958095993095268,,,,,,,,,,,,-0.4958095993095268,,,,,,,,,,,,,,,,,,,
2015-11-04,,,,,,-0.4977202305178942,,,,,,,,,,,,-0.4977202305178942,,,,,,,,,,,,-0.4977202305178942,,,,,,,,,,,,,,,,,,,
2015-11-05,,,,,,-0.5017893566750522,,,,,,,,,,,,-0.5017893566750522,,,,,,,,,,,,-0.5017893566750522,,,,,,,,,,,,,,,,,,,
2015-11-06,,,0.1622492164894493,6.16335758041366,,-0.5001486406390936,,,,,,,,,,,,-0.5001486406390936,,,,,,,,,,,,-0.5001486406390936,,,,,,,,,,,,,,,,,,,
2015-11-09,,,0.1689652436748093,5.918376578918415,,-0.5026916760775948,,,,,,,,,,,,-0.5026916760775948,,,,,,,,,,,,-0.5026916760775948,,,,,,,,,,,,,,,,,,,
2015-11-10,,,0.1685981013857523,5.931264542530973,,-0.5075153773790735,,,,,,,,,,,,-0.5075153773790735,,,,,,,,,,,,-0.5075153773790735,,,,,,,,,,,,,,,,,,,
2015-11-11,,,0.1650815059395465,6.057613381538147,,-0.5096390685235672,,,,,,,,,,,,-0.5096390685235672,,,,,,,,,,,,-0.5096390685235672,,,,,,,,,,,,,,,,,,,
2015-11-12,,,0.1700413514093577,5.880922098668683,,-0.5160404917649242,,,,,,,,,,,,-0.5160404917649242,,,,,,,,,,,,-0.5160404917649242,,,,,,,,,,,,,,,,,,,
2015-11-13,,,0.1651755923761688,6.054162876443537,,-0.5218709227783731,,,,,,,,,,,,-0.5218709227783731,,,,,,,,,,,,-0.5218709227783731,,,,,,,,,,,,,,,,,,,
2015-11-16,,,0.1719367981789625,5.81609028684037,,-0.5173789955711108,,,,,,,,,,,,-0.5173789955711108,,,,,,,,,,,,-0.5173789955711108,,,,,,,,,,,,,,,,,,,
2015-11-17,,,0.1716851116031064,5.824616546049651,,-0.5177421014394938,,,,,,,,,,,,-0.5177421014394938,,,,,,,,,,,,-0.5177421014394938,,,,,,,,,,,,,,,,,,,
2015-11-18,,,0.1769703075764005,5.65066511545523,,-0.515935496918261,,,,,,,,,,,,-0.515935496918261,,,,,,,,,,,,-0.515935496918261,,,,,,,,,,,,,,,,,,,
2015-11-19,,,0.1766555668657166,5.66073269659719,,-0.5280462215176613,,,,,,,,,,,,-0.5280462215176613,,,,,,,,,,,,-0.5280462215176613,,,,,,,,,,,,,,,,,,,
2015-11-20,,,0.1684844217639987,5.935266478511977,,-0.5280090931768879,,,,,,,,,,,,-0.5280090931768879,,,,,,,,,,,,-0.5280090931768879,,,,,,,,,,,,,,,,,,,
2015-11-23,,,0.1657921702796873,6.0316475621047045,,-0.5292026124820048,,,,,,,,,,,,-0.5292026124820048,,,,,,,,,,,,-0.5292026124820048,,,,,,,,,,,,,,,,,,,
2015-11-24,,,0.1655974843865258,6.03873871222877,,-0.5283271463692882,,,,,,,,,,,,-0.5283271463692882,,,,,,,,,,,,-0.5283271463692882,,,,,,,,,,,,,,,,,,,
2015-11-25,,,0.1657858547146551,6.031877335991011,,-0.5282686406408201,,,,,,,,,,,,-0.5282686406408201,,,,,,,,,,,,-0.5282686406408201,,,,,,,,,,,,,,,,,,,
2015-11-27,,,0.1605267719984053,6.229490104709966,,-0.5268613105849749,,,,,,,,,,,,-0.5268613105849749,,,,,,,,,,,,-0.5268613105849749,,,,,,,,,,,,,,,,,,,
2015-11-30,,,0.1602847662768037,6.238895690711453,,-0.5279669135979792,,,,,,,,,,,,-0.5279669135979792,,,,,,,,,,,,-0.5279669135979792,,,,,,,,,,,,,,,,,,,
2015-12-01,,,0.1639901293641895,6.097927618557592,,-0.5284928514921576,,,,,,,,,,,,-0.5284928514921576,,,,,,,,,,,,-0.5284928514921576,,,,,,,,,,,,,,,,,,,
2015-12-02,,,0.1647331861499542,6.070421890495676,,-0.5281253327084814,,,,,,,,,,,,-0.5281253327084814,,,,,,,,,,,,-0.5281253327084814,,,,,,,,,,,,,,,,,,,
2015-12-03,,,0.1725000500173396,5.797099432310228,,-0.5173910966727906,,,,,,,,,,,,-0.5173910966727906,,,,,,,,,,,,-0.5173910966727906,,,,,,,,,,,,,,,,,,,
2015-12-04,,,0.1843000677600441,5.42593368464003,,-0.5250422222614408,,,,,,,,,,,,-0.5250422222614408,,,,,,,,,,,,-0.5250422222614408,,,,,,,,,,,,,,,,,,,
2015-12-07,,,0.1889510232700217,5.292376456978372,,-0.5337886981074411,,,,,,,,,,,,-0.5337886981074411,,,,,,,,,,,,-0.5337886981074411,,,,,,,,,,,,,,,,,,,
2015-12-08,,,0.1869603953588116,5.348726101020239,,-0.5451142244502734,,,,,,,,,,,,-0.5451142244502734,,,,,,,,,,,,-0.5451142244502734,,,,,,,,,,,,,,,,,,,
2015-12-09,,,0.1860125071992051,5.375982299777585,,-0.5396241814730356,,,,,,,,,,,,-0.5396241814730356,,,,,,,,,,,,-0.5396241814730356,,,,,,,,,,,,,,,,,,,
2015-12-10,,,0.1859470644348351,5.377874338918135,,-0.5414979232990738,,,,,,,,,,,,-0.5414979232990738,,,,,,,,,,,,-0.5414979232990738,,,,,,,,,,,,,,,,,,,
2015-12-11,,,0.1997231572604431,5.006930411312672,,-0.5633769727072808,,,,,,,,,,,,-0.5633769727072808,,,,,,,,,,,,-0.5633769727072808,,,,,,,,,,,,,,,,,,,
2015-12-14,,,0.1980985400892336,5.047992524677992,,-0.5647334117075307,,,,,,,,,,,,-0.5647334117075307,,,,,,,,,,,,-0.5647334117075307,,,,,,,,,,,,,,,,,,,
2015-12-15,,,0.1995882347282391,5.010315118315748,,-0.5485470309889791,,,,,,,,,,,,-0.5485470309889791,,,,,,,,,,,,-0.5485470309889791,,,,,,,,,,,,,,,,,,,
