ticker;asset_type;sector;industry;is_current_holding;is_watchlist;screen_origin;market_cap;current_volume;avg_volume_20;volume_ratio_20;dollar_volume_20;revenue_growth;gross_margin;ebitda_margin;roic;fcf_yield;debt_to_ebitda;forward_pe;ev_to_ebitda;beta;momentum_6m;valuation_gap;quality_score;value_score;risk_score;growth_score;composite_score;discovery_score;owner_elasticity_score;owner_elasticity_bucket;thesis_bucket;fair_value;current_price;suggested_position;analyst_consensus
PAGS;equity;Technology;Software - Infrastructure;TRUE;FALSE;current_holding;2.620.000.000;3.683.758;4.793.267,9;0,768527;44.912.919,67;;0,5089;0,466;0,4044;0,4668;0,29;5,78;1,59;1,44;-0,01782;6,0076;0,733333;2,0019;0,335806;0,666667;0,9543;0,7543;0,534559;selective;quality compounder;65,6607;9,37;0;Buy
ABEV;equity;Consumer Staples;Beverages - Brewers;TRUE;FALSE;current_holding;44.660.000.000;30.017.844;21.689.342,2;1,384;62.031.516,42;;0,5142;0,3085;0,2507;0,0834;0,12;15,17;8,42;0,29;0,243478;0,903411;0,681941;0,858565;0,829225;0,40781;0,687021;0,487021;0,392593;institutional;quality compounder;5,4438;2,86;0,1;Hold
TSM;equity;Technology;Semiconductors;FALSE;TRUE;watchlist;1.750.000.000.000;17.267.249;12.925.347,45;1,3359;4.372.774.264,25;;0,5989;0,6863;0,4805;0,0178;0,41;24,14;20,31;1,28;0,312203;-0,458749;0,762989;0,140722;0,683409;0,729066;0,583025;0,533025;0,255696;institutional;growth at reasonable price;183,1105;338,31;0,1;Buy
IBRX;equity;Healthcare;Biotechnology;TRUE;FALSE;current_holding;8.630.000.000;30.384.030;40.111.466,5;0,75749;336.535.217,71;;0,9934;-2,1238;-0,4948;-0,0358;;;;-0,08;2,2269;-1,8819;0,295223;0,279536;0,854472;0,944444;0,565457;0,365457;0,400621;institutional;watchlist;-7,3988;8,39;0,1;Strong Buy
ASML;equity;Technology;Semiconductor Equipment & Materials;TRUE;FALSE;current_holding;518.650.000.000;1.177.097;1.489.534,85;0,790245;2.004.452.065,02;;0,5283;0,3755;0,6783;0,0245;0,38;40,01;35,31;1,43;0,658564;-0,520373;0,787612;0,025134;0,612949;0,745169;0,551449;0,351449;0,253954;institutional;growth at reasonable price;645,4292;1.345,69;0,1;Buy
AMPY;equity;;;FALSE;FALSE;discovery;;2.819.229;1.194.611,45;2,36;7.812.758,84;;;;;;;;;;0,651515;;;;0,51925;1;0,550433;0,550433;0,575042;selective;watchlist;;6,54;0,1;
STZ;equity;Consumer Staples;Beverages - Brewers;TRUE;FALSE;current_holding;26.040.000.000;1.042.116;1.783.680,8;0,58425;267.801.834,22;;0,5214;0,378;0,1176;0,0677;3,01;12,49;10,31;0,42;0,091858;0,646681;0,664674;0,779812;0,405091;0,268519;0,542503;0,342503;0,297473;institutional;quality compounder;247,2327;150,14;0;Buy
ONDS;equity;Technology;Communication Equipment;TRUE;FALSE;current_holding;3.740.000.000;72.857.914;96.327.815,7;0,756354;978.690.592,81;;0,3357;-1,5587;-0,0979;-0,0092;;;;2,58;0,54878;-1,0892;0,20424;0,47769;0,632056;0,934783;0,540801;0,340801;0,388938;institutional;watchlist;-0,90669;10,16;0,1;Strong Buy
ASTS;equity;Technology;Communication Equipment;TRUE;FALSE;current_holding;25.270.000.000;8.194.249;12.208.012,45;0,671219;1.054.039.750,23;;0,5034;;-0,0657;-0,045;;;;2,87;1,2299;-1,3628;0,241456;0,409296;0,652778;0,941224;0,540622;0,340622;0,300435;institutional;watchlist;-31,3256;86,34;0,1;Hold
ZVRA;equity;Healthcare;Biotechnology;TRUE;FALSE;current_holding;585.940.000;1.050.292;1.445.559,6;0,726564;14.426.684,15;;0,8452;-0,0017;-0,35;-0,0042;92,54;21,7;;0,94;0,287742;-0,825235;0,517318;0,413256;0,45025;0,762882;0,53928;0,33928;0,648429;selective;growth at reasonable price;1,7442;9,98;0,1;Strong Buy
